% place,type,population,latitude,longitude
Weston-Super-Mare,Town,83641.0,51.34603,-2.97665

Chester,City,86011.0,53.1905,-2.89189

Nuneaton,Town,86552.0,52.52323,-1.46523

Bedford,Town,87590.0,52.13459,-0.46632

Halifax,Town,88134.0,53.71667,-1.85

Grimsby,Town,88243.0,53.56539,-0.07553

Chesterfield,Town,88483.0,53.25,-1.41667

Hartlepool,Town,88855.0,54.68611,-1.2125

Stevenage,Town,89663.0,51.90224,-0.20256

Hastings,Town,91053.0,50.85519,0.57292

Barnsley,Town,91297.0,53.55,-1.48333

Southport,Town,91703.0,53.64779,-3.00648

West Bromwich,Town,91930.0,52.51868,-1.9945

Darlington,Town,92363.0,54.52429,-1.55039

Bath,City,94782.0,51.37795,-2.35907

Hemel Hempstead,Town,94932.0,51.75369,-0.47517

Rayleigh,Town,95580.0,51.58571,0.60459

Oldham,Town,96555.0,53.54051,-2.1183

Preston,City,97886.0,53.76667,-2.71667

Wakefield,City,99251.0,53.68331,-1.49768

Worcester,City,100153.0,52.18935,-2.22001

Lincoln,City,100160.0,53.22683,-0.53792

St. Helens,Town,102885.0,53.45,-2.73333

Wigan,Town,103608.0,53.53333,-2.61667

Salford,City,103886.0,53.48771,-2.29042

Gillingham,Town,104157.0,51.38914,0.54863

Woking,Town,105367.0,51.31903,-0.55893

Stockport,Town,105878.0,53.40979,-2.15761

Crawley,Town,106943.0,51.11303,-0.18312

Basildon,Town,107123.0,51.56844,0.45782

Basingstoke,Town,107355.0,51.26249,-1.08708

Maidstone,Town,107627.0,51.26667,0.51667

Rochdale,Town,107926.0,53.61766,-2.1552

Sutton Coldfield,Town,109015.0,52.56667,-1.81667

Worthing,Town,109120.0,50.81448,-0.37126

Eastbourne,Town,109185.0,50.76871,0.28453

Rotherham,Town,109691.0,53.43012,-1.35678

Doncaster,Town,109805.0,53.52327,-1.13691

Chelmsford,City,110507.0,51.73575,0.46958

Exeter,City,113507.0,50.7236,-3.52751

Cheltenham,Town,116447.0,51.9,-2.08333

Blackburn,Town,117963.0,53.75,-2.48333

Colchester,Town,119441.0,51.88921,0.90421

Gateshead,Town,120046.0,54.96209,-1.60168

High Wycombe,Town,120256.0,51.62907,-0.74934

Solihull,Town,123187.0,52.41426,-1.78094

Newport,City,128060.0,51.58774,-2.99835

Watford,Town,131982.0,51.65531,-0.39602

Sale,Town,134022.0,53.42519,-2.32443

Gloucester,City,136362.0,51.86568,-2.2431

Telford,Town,142723.0,52.67659,-2.44926

Birkenhead,Town,142968.0,53.39337,-3.01479

Dundee,City,144170.0,56.5,-2.96667

Ipswich,Town,144957.0,52.05917,1.15545

Cambridge,City,145818.0,52.2,0.11667

Blackpool,Town,147663.0,53.81667,-3.05

York,City,152841.0,53.95763,-1.08271

Poole,Town,154718.0,50.71667,-2

Slough,Town,155298.0,51.50949,-0.59541

Oxford,City,159994.0,51.75222,-1.25596

Peterborough,City,161707.0,52.57364,-0.24777

Huddersfield,Town,162949.0,53.64904,-1.78416

Warrington,Town,165456.0,53.39254,-2.58024

Milton Keynes,Town,171750.0,52.04172,-0.75583

Sunderland,City,174286.0,54.90465,-1.38222

Middlesbrough,Town,174700.0,54.57623,-1.23483

Southend-on-Sea,Town,175547.0,51.53782,0.71433

Swansea,City,179485.0,51.62079,-3.94323

Swindon,Town,182441.0,51.55797,-1.78116

Norwich,City,186682.0,52.62783,1.29834

Bournemouth,Town,187503.0,50.72048,-1.8795

Aberdeen,City,189120.0,57.14369,-2.09814

Bolton,Town,194189.0,53.58333,-2.43333

Luton,Town,211228.0,51.87967,-0.41748

Northampton,Town,215173.0,52.25,-0.88333

Reading,Town,218705.0,51.45625,-0.97113

Westminster,City,218791.0,51.50853,-0.12574

Brighton,City,229700.0,50.82838,-0.13947

Plymouth,City,234982.0,50.37153,-4.14305

Portsmouth,City,238137.0,50.79899,-1.09125

Southampton,City,253651.0,50.90395,-1.40428

Derby,City,255394.0,52.92277,-1.47663

Wolverhampton,City,265178.0,52.58547,-2.12296

Newcastle,City,268064.0,54.97328,-1.61396

Stoke-on-Trent,City,270726.0,53.00415,-2.18538

Hull,City,284321.0,53.7446,-0.33525

Nottingham,City,289301.0,52.9536,-1.15047

Coventry,City,325949.0,52.40656,-1.51217

Cardiff,City,335145.0,51.48,-3.18

Bradford,City,349561.0,53.79391,-1.75206

Leicester,City,443760.0,52.6386,-1.13169

Edinburgh,City,468720.0,55.95206,-3.19648

Leeds,City,474632.0,53.79648,-1.54785

Manchester,City,510746.0,53.48095,-2.23743

Sheffield,City,518090.0,53.38297,-1.4659

Bristol,City,535907.0,51.45523,-2.59665

Liverpool,City,552267.0,53.41058,-2.97794

Glasgow,City,589900.0,55.86515,-4.25763

Birmingham,City,1085810.0,52.48142,-1.89983

London,City,8173941.0,51.50853,-0.12574

